IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques
FileSha256,a9fe73484674696be756808e93f839be7157cd65995d8de9e67e40bf77c9b229,,AlertAndBlock,High,Emotet ,"Domain parking services offer a simple solution for domain owners to monetize their sites’ traffic through third-party advertisements. While domain parking might appear harmless at first glance, parked domains pose significant threats, as they can redirect visitors to malicious or unwanted landing pages or turn entirely malicious at any point in time.",Further investigation should be done upon being alerted. IOCs obtained from https://unit42.paloaltonetworks.com/domain-parking/,,,
FileSha256,54ac560845b09ce00a48b604ac7c440331cbde4362839a3dbf14c378230bee21,,AlertAndBlock,High,Emotet ,"Domain parking services offer a simple solution for domain owners to monetize their sites’ traffic through third-party advertisements. While domain parking might appear harmless at first glance, parked domains pose significant threats, as they can redirect visitors to malicious or unwanted landing pages or turn entirely malicious at any point in time.",Further investigation should be done upon being alerted. IOCs obtained from https://unit42.paloaltonetworks.com/domain-parking/,,,
IpAddress,50.91.114.38,,AlertAndBlock,High,Emotet ,"Domain parking services offer a simple solution for domain owners to monetize their sites’ traffic through third-party advertisements. While domain parking might appear harmless at first glance, parked domains pose significant threats, as they can redirect visitors to malicious or unwanted landing pages or turn entirely malicious at any point in time.",Further investigation should be done upon being alerted. IOCs obtained from https://unit42.paloaltonetworks.com/domain-parking/,,,
IpAddress,51.38.124.206,,AlertAndBlock,High,Emotet ,"Domain parking services offer a simple solution for domain owners to monetize their sites’ traffic through third-party advertisements. While domain parking might appear harmless at first glance, parked domains pose significant threats, as they can redirect visitors to malicious or unwanted landing pages or turn entirely malicious at any point in time.",Further investigation should be done upon being alerted. IOCs obtained from https://unit42.paloaltonetworks.com/domain-parking/,,,
DomainName,xifinity.com,,AlertAndBlock,High,Emotet Cybersquatting,"Domain parking services offer a simple solution for domain owners to monetize their sites’ traffic through third-party advertisements. While domain parking might appear harmless at first glance, parked domains pose significant threats, as they can redirect visitors to malicious or unwanted landing pages or turn entirely malicious at any point in time.",Further investigation should be done upon being alerted. IOCs obtained from https://unit42.paloaltonetworks.com/domain-parking/,,,
DomainName,antivirus-protection.com-123.xyz,,AlertAndBlock,High,Emotet Cybersquatting,"Domain parking services offer a simple solution for domain owners to monetize their sites’ traffic through third-party advertisements. While domain parking might appear harmless at first glance, parked domains pose significant threats, as they can redirect visitors to malicious or unwanted landing pages or turn entirely malicious at any point in time.",Further investigation should be done upon being alerted. IOCs obtained from https://unit42.paloaltonetworks.com/domain-parking/,,,
DomainName,valleymedicalandsurgicalclinic.com,,AlertAndBlock,High,Emotet ,"Domain parking services offer a simple solution for domain owners to monetize their sites’ traffic through third-party advertisements. While domain parking might appear harmless at first glance, parked domains pose significant threats, as they can redirect visitors to malicious or unwanted landing pages or turn entirely malicious at any point in time.",Further investigation should be done upon being alerted. IOCs obtained from https://unit42.paloaltonetworks.com/domain-parking/,,,
