IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques
FileSha256,9f1f11a708d393e0a4109ae189bc64f1f3e312653dcf317a2bd406f18ffcc507 ,,AlertAndBlock,High,vid001.exe ,https://www.virustotal.com/gui/file/9f1f11a708d393e0a4109ae189bc64f1f3e312653dcf317a2bd406f18ffcc507/relations,Upon being alerted further investigation must be done.,,,
FileSha256,586d6b581a868f71c903097a3b7046f61a0797cda090a36687767189483e2360 ,,AlertAndBlock,High,dfsvc.exe ,https://www.virustotal.com/gui/file/586d6b581a868f71c903097a3b7046f61a0797cda090a36687767189483e2360/detection,Upon being alerted further investigation must be done.,,,
FileSha256,8b4216a7c50599b11241876ada8ae6f07b48f1abe6590c2440004ea4db5becc9 ,,AlertAndBlock,High,SAntivirusService.exe,https://www.virustotal.com/gui/file/8b4216a7c50599b11241876ada8ae6f07b48f1abe6590c2440004ea4db5becc9/detection,Upon being alerted further investigation must be done.,,,
FileSha256,100318042c011363a98f82516b48c09bbcdd016aec557b009c3dd9c17eed0584  ,,AlertAndBlock,High,FlashHelperService.exe  ,https://www.virustotal.com/gui/file/100318042c011363a98f82516b48c09bbcdd016aec557b009c3dd9c17eed0584/detection,Upon being alerted further investigation must be done.,,,
