2021-05-25 00:24:15,464: 'w'
2021-05-25 00:24:15,607: 'e'
2021-05-25 00:24:15,759: 'l'
2021-05-25 00:24:15,951: 'l'
2021-05-25 00:24:16,191: Key.space
2021-05-25 00:24:16,367: 't'
2021-05-25 00:24:16,495: 'h'
2021-05-25 00:24:16,631: 'a'
2021-05-25 00:24:16,823: 't'
2021-05-25 00:24:16,943: Key.space
2021-05-25 00:24:17,103: 'w'
2021-05-25 00:24:17,247: 'a'
2021-05-25 00:24:17,391: 's'
2021-05-25 00:24:17,511: Key.space
2021-05-25 00:24:17,839: 'e'
2021-05-25 00:24:18,039: 'a'
2021-05-25 00:24:18,263: 's'
2021-05-25 00:24:18,767: 'y'
2021-05-25 00:24:31,462: Key.backspace
2021-05-25 00:24:40,390: Key.ctrl
2021-05-25 00:24:40,718: '\x03'
